title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Donat,https://www.fatsecret.co.id/resep/74332855-donat/Default.aspx,Donat,Sidebar - Makan Pagi,3 gram ragi | 40 gram kuning telur | 30 gram gula pasir | 130 ml susu uht full cream | 15 g susu | 250 g tepung terigu cakra kembar,Campur semua bahan kering. | Tambahkan semua bahan basah dan uleni hingga halus. | Diamkan hingga ukurannya dua kali lipat. | Bentuk adonan dan goreng hingga berwarna cokelat keemasan.,"106,0 kkal","3,7 g","19,3 g","1,73 g","0,1 g","3,46 g","10,0 mg","26,0 mg","43,0 mg","0,634 g","Sederhana, lembut dan mudah dibuat.",PT20M,PT15M,12 porsi
Muffin Oat Pisang,https://www.fatsecret.co.id/resep/71694317-muffin-oat-pisang/Default.aspx,Muffin Oat Pisang,Sidebar - Makan Pagi,1 sedang telur | 1 sdt ekstrak vanila | 154 gram pisang | 5 gram baking soda | 6 gram madu | 100 g quick cooking oatmeal | 50 g squeeze yoghurt,"Masukan semua bahan pada blender. | Setelah tercampur, bagi adonan ke dalam cetakan. | Panggang dengan suhu 175°C selama 25 menit.","136,0 kkal","4,02 g","23,62 g","2,98 g","2,5 g","5,93 g","295,0 mg","138,0 mg","37,0 mg","0,593 g","Enak dan sedikit manis, cocok untuk camilan atau sarapan.",PT10M,PT25M,5 porsi
Banana Bread Oats,https://www.fatsecret.co.id/resep/70672846-banana-bread-oats/Default.aspx,Banana Bread Oats,Sidebar - Makan Pagi,2 besar telur | 1 sdt kayu manis | 115 g banana | 120 g instant oatmeal grain | 120 ml almond breeze vanilla | 10 g baking powder | 13 g 1/3 pb original | 20 g fineza chocolate button,"Panaskan oven/airfryer dengan suhu 160°C selama 10 menit. | Sementara itu, campurkan semua bahan dalam blender, kecuali coklat kancing. | Blender adonan hingga halus. Tuang ke dalam cangkir aluminium dan hiasi tombol cokelat di atasnya. | Panggang adonan dengan suhu 160°C selama 15 menit.","247,0 kkal","8,84 g","32,96 g","8,53 g","4,4 g","7,64 g","76,0 mg","142,0 mg","106,0 mg","1,231 g",Kue pisang cup,PT15M,PT15M,4 porsi
Bilah Energi Oatmeal Cokelat,https://www.fatsecret.co.id/resep/70171367-bilah-energi-oatmeal-cokelat/Default.aspx,Bilah Energi Oatmeal Cokelat,Sidebar - Makanan Ringan,25 gram biji bunga matahari (yang) dikuliti sangrai kering | 60 gram kurma | 40 gram kismis (tanpa biji) | 20 gram kacang almond panggang kering (tanpa tambahan garam) | 20 g choco chips | 60 g selai kacang | 150 g oatmeal | 100 g madu tj murni,"Sangrai oatmeal sampai kecoklatan. Dinginkan sampai suhu ruang. | Cincang kurma dengan halus. | Campur semua bahan dalam satu wadah menggunakan spatula. | Pindahkan pada wadah, padatkan, tutup rapat. Simpan pada frezer minimal 30 menit. | Potong menjadi batangan.","92,0 kkal","2,06 g","13,29 g","3,61 g","1,0 g","7,44 g","26,0 mg","71,0 mg","0,0 mg","0,552 g","Enak, kenyal, dan mudah dibuat.",PT30M,PT0M,16 porsi
Kue Pisang,https://www.fatsecret.co.id/resep/67444129-kue-pisang/Default.aspx,Kue Pisang,Sidebar - Lainnya,1 besar telur | 1 sdt kayu manis | 1/4 sdt garam | 1 ekstra besar pisang | 1 sdt baking soda | 50 g instant oatmeal | 3 g stevia sweetener | 15 g wpro milk tea,"Hancurkan pisang. | Aduk telur sampai berbusa, masukkan kedalam pisang. | Tambahkan sisa bahan dan aduk rata. | Bagi adonan ke dalam cetakan dan panggang dalam oven dengan suhu 210°C selama 15-20 menit.","118,0 kkal","6,3 g","19,31 g","2,76 g","2,4 g","4,88 g","492,0 mg","156,0 mg","57,0 mg","0,674 g","Sederhana, enak dan sedikit manis.",PT15M,PT20M,4 porsi
Mie Shirataki Goreng,https://www.fatsecret.co.id/resep/67236434-mie-shirataki-goreng/Default.aspx,Mie Shirataki Goreng,Sidebar - Makan Siang,1 sejumput salt | 1 buah utuh portabella mushrooms | 30 gram cherry tomatoes | 3 ml minyak goreng | 1 sdm kecap manis | 75 g mie kering shirataki | 8 g sambal bawang | 45 g dada ayam | 65 g telur omega,"Panaskan wajan dengan minyak dan tumis irisan dada ayam dan jamur. | Tambahkan telur orak-arik sebelumnya, irisan tomat, dan bahan lainnya, masak hingga matang. | Pindahkan ke piring dan sajikan. Menikmati.","175,0 kkal","9,13 g","19,04 g","5,92 g","2,8 g","8,15 g","439,0 mg","324,0 mg","19,0 mg","1,303 g",Begitu lezat dan mudah dimasak.,PT15M,PT10M,2 porsi
Kue Gandum Pisang,https://www.fatsecret.co.id/resep/66836366-kue-oat-pisang/Default.aspx,Kue Gandum Pisang,Sidebar - Makan Pagi,30 gram susu | 1 ekstra besar telur | 175 gram pisang | 1 sdm madu | 50 gram tepung terigu putih (semua keperluan) | 10 g bubuk pengembang | 80 g gulungan gandum,"Kupas dan haluskan pisang. Campur dengan telur, susu, dan madu. | Tambahkan bahan kering dan aduk rata. | Pindahkan ke loyang dan masak dalam oven dengan suhu 180°C selama 30 menit. | Biarkan dingin, buka cetakannya, dan potong-potong.","103,0 kkal","3,18 g","19,26 g","1,93 g","1,5 g","5,35 g","12,0 mg","102,0 mg","31,0 mg","0,429 g",Sarapan panggang sederhana dan cepat.,PT30M,PT30M,8 porsi
Gandum dengan Buah,https://www.fatsecret.co.id/resep/66824678-gandum-dengan-buah/Default.aspx,Gandum dengan Buah,Sidebar - Makan Pagi,1 sdm madu | 1 gelas yogurt stroberi | 3 sdm gandum | 100 g buah naga | 100 g apel,Masak gandum dengan air sesuai kemasan. | Pindahkan ke mangkuk lalu tambahkan yogurt. | Iris buah dan tambahkan ke mangkuk. Gerimis dengan madu.,"251,0 kkal","4,57 g","50,22 g","3,8 g","4,4 g","21,3 g","16,0 mg","96,0 mg","5,0 mg","1,525 g",Sarapan cepat dan enak.,PT10M,PT10M,2 porsi
Saus Cokelat,https://www.fatsecret.co.id/resep/66790743-saus-cokelat/Default.aspx,Saus Cokelat,Sidebar - Saus dan Bumbu,10 gram mentega | 250 ml air | 25 gram tepung terigu putih (semua keperluan) | 10 g serat pembuat krim | 25 g coklat bubuk,Panaskan air dalam panci tapi jangan sampai mendidih. | Tambahkan bahan kering sambil diaduk. | Lanjutkan mengaduk sampai semuanya larut. | Matikan api lalu masukkan mentega. Campur dengan baik.,"78,0 kkal","2,12 g","9,56 g","3,65 g","1,0 g","0,02 g","2,0 mg","7,0 mg","6,0 mg","2,439 g",Bagi yang sedang diet keto.,PT5M,PT10M,4 porsi
Sandwich Telur Dadar,https://www.fatsecret.co.id/resep/66245292-sandwich-telur-dadar/Default.aspx,Sandwich Telur Dadar,Sidebar - Makan Pagi,1 daun sedang selada | 1 besar telur dadar | 1 utuh sedang tomat merah | 1 lembar roti tawar gandum,Panggang roti dalam wajan antilengket selama satu menit di setiap sisi. | Atur telur dadar dan sayuran di dalam roti. | Iris dan sajikan.,"306,0 kkal","13,63 g","36,48 g","11,59 g","7,6 g","5,77 g","435,0 mg","373,0 mg","217,0 mg","4,111 g",Sarapan atau snack menggunakan 4 bahan.,PT15M,PT0M,1 porsi
Toge Telur,https://www.fatsecret.co.id/resep/62893894-toge-telur/Default.aspx,Toge Telur,Sidebar - Lauk Pauk,1 besar egg | 150 gram sprouts | 100 ml water | 50 g bakso daging sapi | 2 sdm saos tiram | 1 bungkus level 30 | 1 sdm kecap manis sedaap,"Rebus air, masukkan toge. | Potong potong bakso, kocok telur lalu masukkan ke rebusan air. | Tambah kecap, saori dan sedikit bubuk cabai. Rebus hingga matang.","252,0 kkal","21,9 g","26,73 g","6,84 g","3,3 g","18,14 g","1138,0 mg","249,0 mg","212,0 mg","2,788 g",Menu low calorie.,PT5M,PT15M,1 porsi
Tumis Labu Siam,https://www.fatsecret.co.id/resep/61537351-tumis-labu-siam/Default.aspx,Tumis Labu Siam,Sidebar - Makan Siang,5 gram cabai merah atau rawit | 329 gram labu siam | 5 gram bawang putih | 5 gram daun bawang | 500 ml air | 27 gram bawang merah | 27 ml minyak goreng,"Tumis bawang merah, bawang putih, cabe rawit dan daun bawang dengan minyak goreng. | Masukkan labu siam yang sudah dipotong-potong. | Masukkan air. | Tambahkan bumbu yang disukai (garam dan merica) secukupnya.","61,0 kkal","0,79 g","4,15 g","5,07 g","1,5 g","1,6 g","4,0 mg","116,0 mg","0,0 mg","2,154 g",Sup tumis labu siam ini mudah dibuat dan rasa gurihnya yang segar sangat cocok untuk makan siang.,PT10M,PT20M,5 porsi
Dimsum Ayam Udang,https://www.fatsecret.co.id/resep/61352442-dimsum-ayam-udang/Default.aspx,Dimsum Ayam Udang,Sidebar - Makan Siang,200 gram paha ayam | 100 gram udang | 68 gram telur | 19 gram kaldu jamur | 4 gram minyak wijen | 78 gram wortel | 14 gram bawang putih | 92 gram kulit pangsit | 15 gram gula pasir | 5 gram garam laut | 144 g tepung tapioka | 1 g lada putih bubuk | 6 ml kecap asin,"Cuci bersih udang, potong kecil-kecil, sisihkan. | Masukkan semua bahan ke food proccesor kecuali udang dan kulit pangsit. | Blender sampai halus. | Setelah adonan halus tambahkan udang potong kemudian diaduk. | Masukan ke dalam kulit lumpia, kukus 20 menit.","50,0 kkal","3,7 g","4,26 g","1,89 g","0,2 g","1,51 g","171,0 mg","40,0 mg","25,0 mg","0,497 g",Dimsum enak!,PT15M,PT20M,27 porsi
Bakso Ayam Oat,https://www.fatsecret.co.id/resep/60882074-bakso-ayam-oat/Default.aspx,Bakso Ayam Oat,Sidebar - Lauk Pauk,200 gram dada ayam (kulit tidak dimakan) | 1 besar telur | 1/2 sdm minyak kelapa | 1 sdt garam | 3 siung bawang putih | 5 gram daun bawang | 1 kecil bawang merah | 52.5 g instant oatmeal | 10 g tepung pati jagung | 10 g kaldu jamur | 3 g lada putih bubuk | 1 sdm saos tiram,"Goreng bawang merah dg minyak kelapa hingga kering. | Campur semua bahan dalam blender kecuali daun bawang. Tambahkan daun bawang dan bawang goreng. | Rebus air hingga mendidih,kecilkan kompor. Masukkan bakso bentuk sesuai selera. | Didihkan kembali rebus selama 10 menit, hingga bakso mengambang. | Sajikan bisa di sup/dibakar.","197,0 kkal","19,25 g","15,26 g","6,18 g","1,4 g","1,17 g","908,0 mg","183,0 mg","95,0 mg","2,553 g",Makanan ramah anggaran dan sehat.,PT15M,PT15M,4 porsi
Kimchi Jiggae,https://www.fatsecret.co.id/resep/60518204-kimchi-jiggae/Default.aspx,Kimchi Jiggae,Sidebar - Lauk Pauk,50 gram dada ayam rebus (kulit tidak dimakan) | 1 besar putih telur | 1 sdm bubuk cabai | 1 siung bawang putih | 15 gram daun bawang | 50 gram kimchi | 50 gram tahu | 50 gram bawang bombay | 50 gram jamur kancing,"Oseng bawang putih dan bawang bombay tanpa minyak sampai layu. | Masukin air kurleb 300ml. | Masukin ayam dan tahu setelah ayam matang masukan kimchi dan jamur... | Setelah semua layu masukan putih telur, bubuk cabai dan daun bawang aduk aduk. Taburi dengan nori dan biji wijen (opsional).","210,0 kkal","26,12 g","17,03 g","5,72 g","5,0 g","5,36 g","657,0 mg","746,0 mg","38,0 mg","1,002 g",Enak dan mudah dibuat!,PT5M,PT10M,1 porsi
Tumis Sayur dengan Telur,https://www.fatsecret.co.id/resep/60269185-tumis-sayur-dengan-telur/Default.aspx,Tumis Sayur dengan Telur,Sidebar - Makan Siang,1 besar telur | 100 gram kecambah | 1/2 sdt garam | 100 gram kubis | 1 mentimun (dengan kulit) | 1 siung bawang putih | 1 sdm kecap manis | 15 ml minyak goreng | 1 sdm saos tiram,"Cuci bersih toge, kol, timun. Potong sesuai selera. Kupas dan cincang 1 siung bawang putih. | Panaskan 1 sdm minyak, masukan telur kemudian diorak arik, masukin bawang putih, tumis sebentar, masukan sayuran. | Beri sedikit air, masukan garam, saus tiram dan kecap manis. Masak sampai matang. Sajikan.","379,0 kkal","13,47 g","38,57 g","20,92 g","6,1 g","24,86 g","1954,0 mg","885,0 mg","212,0 mg","15,58 g","Simple, cepet, enak.",PT5M,PT15M,1 porsi
Bola Ikan Udang Wortel,https://www.fatsecret.co.id/resep/59972989-bola-ikan-udang-wortel/Default.aspx,Bola Ikan Udang Wortel,Sidebar - Makan Siang,100 gram udang | 102 gram telur (utuh) | 77 gram wortel | 1 1/2 sendok kaldu jamur | 5 g lada putih bubuk | 34 gram bawang bombay | 15 ml saus rasa tiram | 300 gram ikan tenggiri,Kupas udang dan buang tulang di tenggiri. | Campur semua bahan dalam food processor dan bumbui sesuai keinginan. | Buat bola-bola (masing-masing sekitar 25 g). | Masukkan ke dalam kukusan dan masak selama 20 menit.,"30,0 kkal","4,08 g","1,12 g","0,9 g","0,1 g","0,22 g","60,0 mg","75,0 mg","31,0 mg","0,242 g",Hidangan sehat tanpa gula.,PT20M,PT20M,26 porsi
Spring Roll Ayam,https://www.fatsecret.co.id/resep/57485021-spring-roll-ayam/Default.aspx,Spring Roll Ayam,Sidebar - Salad dan Salad Dressing,"1 sedang rice paper | 10 gram daging dada ayam (ayam pedaging, dipanggang, dimasak) | 10 gram wortel | 10 gram mentimun (dengan kulit) | 15 gram bihun (dimasak) | 8 ml roasted sesame dressing","Rebus bihun, tiriskan. | Potong sayur. | Celup rice paper 2 detik di air. | Siapkan dan gulung kertas nasi dengan bihun, ayam dan sayuran di dalamnya. Gunakan saus wijen sebagai saus.","119,0 kkal","4,11 g","16,86 g","3,09 g","0,8 g","1,66 g","149,0 mg","83,0 mg","8,0 mg","0,658 g",Makanan pembuka yang menyegarkan dengan sayuran renyah berwarna-warni.,PT15M,PT8M,1 porsi
Tuna Bruschetta,https://www.fatsecret.co.id/resep/56538013-tuna-bruschetta/Default.aspx,Tuna Bruschetta,Sidebar - Makan Pagi,55 gram tuna dalam air (kalengan) | 3 irisan reguler roti multigrain | 30 g corn kernel | 5 g kaldu jamur | 3 g lada putih bubuk | 40 ml squeeze yogurt original | 15 g mozzarella & cheddar,"Campurkan tuna, yoghurt, kernel, kaldu jamur dan merica. | Oleskan adonan tuna di atas roti multigrain. | Letakkan potongan keju diatasnya. | Panggang dengan airfryer selama 15 menit.","129,0 kkal","8,67 g","17,41 g","2,7 g","1,7 g","4,25 g","302,0 mg","115,0 mg","6,0 mg","1,086 g",Sarapan simple yg high protein.,PT10M,PT15M,3 porsi
Stir Fry Asparagus,https://www.fatsecret.co.id/resep/56053686-stir-fry-asparagus/Default.aspx,Stir Fry Asparagus,Sidebar - Lauk Pauk,120 gram asparagus | 1 siung bawang putih | 2 ml minyak goreng tropical,Rebus asparagus hingga agak lunak. | Tumis bawang putih dengan sedikit minyak. | Masukkan asparagus yang telah direbus. | Tumis asparagus dengan bawang putih dan tunggu hingga matang. | Hidangan siap disantap.,"22,0 kkal","1,42 g","2,82 g","0,97 g","1,3 g","1,14 g","2,0 mg","127,0 mg","0,0 mg","0,419 g",Resep cepat untuk disatukan.,PT10M,PT15M,2 porsi
Tumis Pokcoy Saus Tiram,https://www.fatsecret.co.id/resep/55906364-tumis-pokcoy-saus-tiram/Default.aspx,Tumis Pokcoy Saus Tiram,Sidebar - Lauk Pauk,30 gram cabai merah atau rawit | 100 gram saus tiram | 3 siung bawang putih | 5 kecil bawang merah | 3 sdm minyak goreng | 100 gram pakcoy,"Cuci bersih pokcoy, potong potong sesuai selesai. | Kupas bawang merah, bawang putih, dan cabai. Cuci bersih, lalu iris tipis dan memanjang untuk cabai. | Panaskan minyak dalam wajan, masukan bawang merah dan bawang putih tunggu hingga harum, masukan cabai tunggu wangi. | Masukan pokcoy aduk aduk. | Masukan saus tiram, tambahkan air sedikit. | Tunggu hingga matang, makanan siap disajikan.","195,0 kkal","3,13 g","22,77 g","11,94 g","4,8 g","6,43 g","921,0 mg","439,0 mg","0,0 mg","4,378 g",Resep pakcoy sederhana dengan sedikit rasa pedas.,PT8M,PT10M,3 porsi
Tahu Goreng Telur,https://www.fatsecret.co.id/resep/55291385-tahu-goreng-telur/Default.aspx,Tahu Goreng Telur,Sidebar - Lauk Pauk,2 sedang telur | 1 sdm cabai merah atau rawit | 5 sdt garam | 2 siung bawang putih | 4 sedang bawang merah | 250 gram tahu | 1 takaran royco ayam | 125 ml minyak goreng 2x penyaringan,"Haluskan bawang merah, bawang putih, dan cabai. Campur mereka dengan baik. | Tahu dihaluskan lalu masukkan semua bahan kecuali minyak. | Panaskan minyak dalam wajan dan goreng sampai berwarna cokelat keemasan.","189,0 kkal","4,51 g","6,92 g","16,69 g","1,1 g","2,65 g","1544,0 mg","148,0 mg","46,0 mg","6,635 g",Ini sangat mudah dibuat dan merupakan hidangan pembuka yang enak serta hidangan utama dengan nasi.,PT10M,PT20M,8 porsi
Salad Sayur,https://www.fatsecret.co.id/resep/54139546-salad-sayur/Default.aspx,Salad Sayur,Sidebar - Makan Siang,"20 gram jeruk nipis | 1/4 mangkok, irisan paprika merah manis | 2 sdm kemangi | 1/2 mangkok, irisan mangga | 1/2 mangkok, dicincang kale | 10 gram bayam | 100 gram bengkoang | 25 gram bawang bombay",Potong dan iris semua bahan sesuai selera. | Tambahkan perasan jeruk nipis. | Tambahkan sedikit lada dan garam. | Aduk rata.,"134,0 kkal","3,26 g","32,69 g","0,74 g","8,9 g","16,4 g","29,0 mg","612,0 mg","0,0 mg","0,137 g",Salad sayuran yang menyegarkan dengan rasa jeruk nipis yang tajam.,PT10M,PT0M,1 porsi
Pan Sarden Pizza,https://www.fatsecret.co.id/resep/51045327-pan-sarden-pizza/Default.aspx,Pan Sarden Pizza,Sidebar - Hidangan Utama,2 siung bawang putih dimasak | 25 gram bawang bombay dimasak | 7 gram ragi | 10 gram cabai merah atau rawit | 3/4 sdt garam | 140 ml air | 7 gram gula pasir | 1 sosis ayam | 1 1/2 sdm minyak goreng | 1 sdm madu | 75 g sarden saus tomat | 10 g cheddar | 1 sendok saus sambal | 32 g smoked beef | 60 g keju mozarella | 30 ml saus tomat | 125 g tepung segitiga biru,"Aduk air hangat, ragi, dan gula pasir hingga rata lalu diamkan hingga berbuih (2-3 menit). | Masukkan garam, madu, dan 1.5 sdm minyak dan aduk rata. | Tuang adukan ragi ke 250 gram tepung terigu, aduk hingga semua meyatu. | Alasi permukaan meja dengan minyak. Uleni adonan hingga, tidak perlu sampai kalis. | Pipihkan adonan dengan rolling pin seukuran pan yang digunakan. | Untuk topping pizza, tumis sosis dan smoked beef yang sudah dipotong sesuai selera. Kemudian sisihkan. | Tumis bawang putih dan bawang bombai yang sudah diiris hingga wangi. Masukkan sarden, irisan cabai rawit, saus sambal dan saus tomat. Masak hingga mengental. | Panaskan teflon baru di api sedang, olesi dengan minyak lalu panggang satu sisi pizza hingga matang (agak kecoklatan di beberapa bagian).","1244,0 kkal","54,05 g","159,81 g","44,59 g","4,7 g","34,04 g","3566,0 mg","661,0 mg","27,0 mg","8,782 g",Pizza sarden yant dimasak dengan teflon.,PT10M,PT8M,1 porsi
Gulungan Salad Daging Sapi Asap,https://www.fatsecret.co.id/resep/48375474-gulungan-salad-daging-sapi-asap/Default.aspx,Gulungan Salad Daging Sapi Asap,Sidebar - Salad dan Salad Dressing,1 sedang rice paper | 20 gram wortel | 20 gram mentimun (kupas) | 30 gram selada air | 50 g smoked beef | 17 g keju slice,Celupkan rice paper ke air hangat hingga lemas & mudah dibentuk. | Susun semua bahan di atas rice paper lalu gulung. | Salad siap disajikan.,"180,0 kkal","11,72 g","17,04 g","6,78 g","1,2 g","2,29 g","720,0 mg","199,0 mg","20,0 mg","1,065 g",Gulungan salad rendah kalori.,PT5M,PT5M,1 porsi
